Date,Open,High,Low,Close,Adj Close,Volume
2016-03-15,25100.000000,25280.000000,24920.000000,25060.000000,21495.894531,8640400
2016-03-16,25120.000000,25260.000000,25060.000000,25120.000000,21547.361328,7342800
2016-03-17,25300.000000,25920.000000,25140.000000,25260.000000,21667.449219,12343450
2016-03-18,25560.000000,25560.000000,25260.000000,25460.000000,21839.000000,11265700
2016-03-21,25480.000000,25580.000000,25160.000000,25340.000000,21736.072266,9058500
2016-03-22,25340.000000,25580.000000,25240.000000,25380.000000,21770.382813,10143600
2016-03-23,25380.000000,25580.000000,25240.000000,25580.000000,21941.939453,9870900
2016-03-24,25580.000000,25800.000000,25320.000000,25640.000000,21993.404297,10939750
2016-03-25,25660.000000,25800.000000,25560.000000,25760.000000,22096.341797,7172300
2016-03-28,25760.000000,26000.000000,25760.000000,25880.000000,22199.271484,6060900
2016-03-29,25880.000000,26000.000000,25700.000000,25800.000000,22130.646484,8622700
2016-03-30,26200.000000,26420.000000,26040.000000,26160.000000,22439.455078,13380250
2016-03-31,26120.000000,26280.000000,25960.000000,26240.000000,22508.072266,19130750
2016-04-01,25980.000000,26180.000000,25420.000000,25580.000000,21941.939453,13557800
2016-04-04,25580.000000,26100.000000,25580.000000,26100.000000,22387.980469,9402300
2016-04-05,25980.000000,25980.000000,25200.000000,25200.000000,21615.980469,11815950
2016-04-06,25380.000000,25820.000000,25360.000000,25700.000000,22044.873047,9211700
2016-04-07,26000.000000,26000.000000,25160.000000,25380.000000,21770.382813,12939750
2016-04-08,25380.000000,25380.000000,24800.000000,24920.000000,21375.804688,12593400
2016-04-11,24920.000000,25420.000000,24920.000000,25320.000000,21718.914063,6034650
2016-04-12,25400.000000,25620.000000,25320.000000,25500.000000,21873.312500,6702700
2016-04-14,26000.000000,26040.000000,25780.000000,26000.000000,22302.203125,16766350
2016-04-15,26180.000000,26200.000000,25800.000000,26000.000000,22302.203125,6829950
2016-04-18,25900.000000,26100.000000,25840.000000,25980.000000,22285.050781,6423700
2016-04-19,25880.000000,25920.000000,25660.000000,25760.000000,22096.341797,7238300
2016-04-20,25640.000000,26000.000000,25640.000000,25980.000000,22285.050781,8598600
2016-04-21,26000.000000,26020.000000,25760.000000,25880.000000,22199.271484,7254450
2016-04-22,25880.000000,25880.000000,25540.000000,25600.000000,21959.097656,5741500
2016-04-25,25700.000000,25700.000000,25420.000000,25620.000000,21976.251953,4597850
2016-04-26,25700.000000,26100.000000,25660.000000,25920.000000,22233.580078,8345050
2016-04-27,25880.000000,26000.000000,25720.000000,26000.000000,22302.203125,8297300
2016-04-28,26000.000000,26000.000000,25220.000000,25300.000000,21701.759766,14653450
2016-04-29,25200.000000,25340.000000,24840.000000,24900.000000,21358.648438,16253900
2016-05-02,24940.000000,25240.000000,24900.000000,25000.000000,21444.431641,7027600
2016-05-03,25340.000000,25400.000000,25120.000000,25220.000000,21633.138672,7903300
2016-05-04,25440.000000,25800.000000,25240.000000,25800.000000,22130.646484,14702750
2016-05-09,25800.000000,26000.000000,25700.000000,25980.000000,22285.050781,13718100
2016-05-10,25980.000000,26000.000000,25760.000000,25920.000000,22233.580078,8559550
2016-05-11,25920.000000,25980.000000,25740.000000,25840.000000,22164.960938,8834400
2016-05-12,25840.000000,25840.000000,25500.000000,25620.000000,21976.251953,7615100
2016-05-13,25620.000000,25620.000000,25020.000000,25060.000000,21495.894531,12284900
2016-05-16,25060.000000,25260.000000,24940.000000,24960.000000,21410.111328,11720150
2016-05-17,24980.000000,25300.000000,24980.000000,25280.000000,21684.599609,9183550
2016-05-18,25280.000000,25420.000000,25100.000000,25360.000000,21753.226563,9169600
2016-05-19,25360.000000,25540.000000,25320.000000,25400.000000,21787.539063,10012450
2016-05-20,25400.000000,25600.000000,25380.000000,25380.000000,21770.382813,7960550
2016-05-23,25380.000000,25720.000000,25380.000000,25720.000000,22062.023438,8112550
2016-05-24,25720.000000,25780.000000,25360.000000,25420.000000,21804.695313,10434600
2016-05-25,25660.000000,25960.000000,25480.000000,25900.000000,22216.427734,11862750
2016-05-26,25980.000000,26060.000000,25900.000000,25920.000000,22233.580078,12653650
